depthMax,depthMean,volcanos,sediments,slope,aspect
-5850,-3680,112,132,25,50.572197
-7200,-3774,71,103,32,44.674458
-6650,-4601,0,96,51,215.07376
-7700,-4067,0,109,64,277.8064
-7650,-4733,3,127,52,178.41765
-6950,-3991,5,135,70,158.5747
-6450,-4019,0,142,55,347.45697
-6950,-3431,208,137,27,214.20346
-6650,-4365,0,64,26,325.03488
-7600,-3560,0,135,66,330.71426
-5900,-3837,188,136,42,24.96279
-7350,-4158,0,141,62,96.11022
-7400,-4365,111,140,46,2.465759
-8550,-4379,149,129,35,209.34422
-9150,-4114,55,131,37,260.24203
-9050,-4266,113,136,64,256.17136
-9050,-4359,40,125,40,130.63173
-6750,-3878,81,106,43,153.87738
-9100,-4710,110,98,36,119.52136
-9400,-4833,188,99,39,272.21967
-10600,-5331,82,100,43,77.56395
-9750,-4691,212,93,33,253.03384
-6050,-3999,306,88,32,292.6065
-6200,-3652,228,46,34,267.1612
-6350,-4744,31,53,32,325.21497
